Seconds,Rpi3 - Python3.9,Rpi3 - Python3.12,Rpi3 - Python3.13,Rpi4 - Python3.9,Rpi4 - Python3.12,Rpi4 - Python3.13
0.00,0.5432,0.5396,0.5504,0.4039,0.4036,0.4128
0.10,0.5338,0.5321,0.5428,0.4209,0.4044,0.4064
0.20,0.5241,0.5279,0.5334,0.4187,0.4008,0.4051
0.30,0.5240,0.5267,0.5285,0.4046,0.4017,0.4011
0.40,0.5231,0.5236,0.5293,0.4032,0.4011,0.4004
0.50,0.5240,0.5232,0.5297,0.4019,0.4015,0.4015
0.60,0.5232,0.5247,0.5287,0.4016,0.4052,0.3971
0.70,0.5235,0.5228,0.528,0.4031,0.4029,0.4004
0.80,0.5226,0.5241,0.5283,0.4054,0.4031,0.4017
0.90,0.5201,0.5226,0.5271,0.4093,0.4041,0.3994
1.00,0.5239,0.5235,0.529,0.41,0.4145,0.4011
1.10,0.5226,0.5239,0.5285,0.403,0.4031,0.3987
1.20,0.5257,0.5236,0.5277,0.4023,0.4106,0.4014
1.30,0.5247,0.5242,0.5284,0.4033,0.4071,0.4006
1.40,0.5226,0.5231,0.5293,0.4035,0.4079,0.401
1.50,0.5234,0.5233,0.5287,0.4136,0.4047,0.4001
1.60,0.5252,0.5232,0.526,0.412,0.4055,0.4017
1.70,0.5310,0.5225,0.5259,0.4058,0.4059,0.4012
1.80,0.5243,0.5223,0.5279,0.4039,0.4009,0.4025
1.90,0.5243,0.5275,0.5307,0.4035,0.4006,0.3998
2.00,0.5235,0.5235,0.5288,0.4031,0.4007,0.4001
2.10,0.5227,0.5242,0.5295,0.4043,0.4016,0.402
2.20,0.5223,0.5249,0.5295,0.4053,0.4007,0.4009
2.30,0.5219,0.5238,0.5296,0.4069,0.401,0.399
2.40,0.5234,0.5245,0.5297,0.4092,0.402,0.4014
2.50,0.5231,0.5249,0.529,0.429,0.4032,0.4072
2.60,0.5229,0.5240,0.5287,0.4944,0.4168,0.43
2.70,0.5231,0.5246,0.5296,0.4337,0.4166,0.4015
2.80,0.5231,0.5238,0.5297,0.4464,0.4252,0.4255
2.90,0.5231,0.5231,0.5281,0.4685,0.5183,0.4789
3.00,0.5242,0.5255,0.5299,0.4095,0.433,0.4394
3.10,0.5236,0.5241,0.5289,0.4104,0.4012,0.4022
3.20,0.5214,0.5222,0.5276,0.4115,0.4019,0.4102
3.30,0.5174,0.5232,0.53,0.4116,0.4026,0.4252
3.40,0.5230,0.5251,0.5335,0.411,0.4029,0.4147
3.50,0.5238,0.5241,0.5332,0.4132,0.4021,0.4118
3.60,0.5232,0.5246,0.5264,0.4118,0.399,0.412
3.70,0.5245,0.5237,0.5273,0.4133,0.4006,0.4004
3.80,0.5240,0.5238,0.5298,0.4087,0.4017,0.4015
3.90,0.5256,0.5248,0.529,0.4058,0.4038,0.4013
4.00,0.5234,0.5238,0.5309,0.4079,0.4056,0.4016
4.10,0.5225,0.5241,0.5291,0.4081,0.4027,0.4014
4.20,0.5256,0.5249,0.5306,0.4062,0.4229,0.4021
4.30,0.5270,0.5251,0.5317,0.4054,0.4002,0.4009
4.40,0.5280,0.5240,0.5319,0.4044,0.4002,0.3999
4.50,0.5266,0.5225,0.5334,0.4075,0.4003,0.4017
4.60,0.5259,0.5196,0.5334,0.4099,0.4014,0.4012
4.70,0.5255,0.5253,0.531,0.4083,0.4016,0.402
4.80,0.5251,0.5238,0.5283,0.4087,0.4001,0.4009
4.90,0.5250,0.5240,0.5288,0.4071,0.4015,0.4003
5.00,0.5262,0.5247,0.5302,0.4061,0.4015,0.4018
5.10,0.5328,0.5313,0.5373,0.4086,0.4009,0.4046
5.20,0.5328,0.5313,0.5406,0.4081,0.4056,0.4001
5.30,0.5255,0.5286,0.5398,0.4072,0.4046,0.3982
5.40,0.5240,0.5255,0.5427,0.4051,0.4046,0.3992
5.50,0.5250,0.5287,0.5342,0.4058,0.4064,0.4045
5.60,0.5232,0.5284,0.5331,0.4052,0.4003,0.4019
5.70,0.5252,0.5262,0.5356,0.4044,0.3994,0.4123
5.80,0.5231,0.5286,0.5334,0.4069,0.4,0.4085
5.90,0.5242,0.5281,0.5312,0.4284,0.3986,0.4025
6.00,0.5244,0.5289,0.5335,0.4871,0.44,0.4481
6.10,0.5235,0.5281,0.5322,0.4174,0.4806,0.4077
6.20,0.5238,0.5244,0.5316,0.4558,0.4191,0.4058
6.30,0.5233,0.5250,0.5324,0.4504,0.4556,0.4688
6.40,0.5228,0.5248,0.5249,0.4075,0.4193,0.4328
6.50,0.5235,0.5240,0.5232,0.4066,0.4017,0.4019
6.60,0.5232,0.5242,0.5247,0.4047,0.4016,0.4115
6.70,0.5242,0.5281,0.5252,0.4037,0.402,0.409
6.80,0.5241,0.5241,0.5259,0.4055,0.4017,0.4001
6.90,0.5232,0.5246,0.5247,0.4041,0.4023,0.4012
7.00,0.5239,0.5242,0.5245,0.4057,0.4034,0.4097
7.10,0.5236,0.5238,0.5238,0.4073,0.4012,0.3991
7.20,0.5245,0.5233,0.5217,0.4085,0.4016,0.3984
7.30,0.5239,0.5226,0.5228,0.4153,0.402,0.3984
7.40,0.5236,0.5220,0.5225,0.4123,0.401,0.3979
7.50,0.5210,0.5228,0.5246,0.4025,0.4037,0.3978
7.60,0.5239,0.5252,0.5203,0.4027,0.4171,0.398
7.70,0.5231,0.5239,0.5246,0.4037,0.4046,0.3989
7.80,0.5240,0.5250,0.5236,0.4036,0.4058,0.3997
7.90,0.5240,0.5242,0.5252,0.4049,0.4023,0.4105
8.00,0.5236,0.5243,0.5239,0.4042,0.3992,0.4155
8.10,0.5240,0.5250,0.5243,0.4049,0.3993,0.4117
8.20,0.5239,0.5241,0.5245,0.404,0.4009,0.4115
8.30,0.5236,0.5269,0.5228,0.4042,0.4003,0.4122
8.40,0.5237,0.5256,0.5218,0.4033,0.4001,0.4012
8.50,0.5241,0.5251,0.5259,0.4043,0.4009,0.4016
8.60,0.5256,0.5237,0.5272,0.4049,0.3996,0.4008
8.70,0.5247,0.5224,0.5255,0.4074,0.4007,0.4014
8.80,0.5245,0.5197,0.5266,0.4086,0.4019,0.4017
8.90,0.5234,0.5231,0.5284,0.4126,0.4025,0.4018
9.00,0.5236,0.5247,0.5259,0.4129,0.4038,0.4014
9.10,0.5237,0.5241,0.5225,0.4148,0.4116,0.4152
9.20,0.5234,0.5228,0.5238,0.4133,0.3999,0.4069
9.30,0.5236,0.5230,0.5226,0.4441,0.3989,0.4082
9.40,0.5230,0.5246,0.5288,0.4881,0.4502,0.4494
9.50,0.5239,0.5240,0.521,0.4192,0.472,0.4035
9.60,0.5262,0.5243,0.5223,0.4758,0.4146,0.414
9.70,0.5234,0.5233,0.5201,0.4439,0.4588,0.4637
9.80,0.5228,0.5233,0.5213,0.4107,0.4161,0.4211
9.90,0.5230,0.5238,0.5259,0.411,0.4098,0.3987
10.00,0.5243,0.5242,0.525,0.4118,0.4037,0.4167
10.10,0.5233,0.5238,0.5263,0.4116,0.4007,0.4075
10.20,0.5226,0.5240,0.526,0.4104,0.4009,0.4004
10.30,0.5236,0.5237,0.5289,0.4048,0.4015,0.4015
10.40,0.5239,0.5248,0.5273,0.404,0.4022,0.4049
10.50,0.5197,0.5274,0.5292,0.4069,0.4025,0.3991
10.60,0.5241,0.5273,0.5281,0.4078,0.4019,0.3994
10.70,0.5241,0.5264,0.5256,0.4056,0.402,0.4007
10.80,0.5239,0.5279,0.5273,0.4065,0.4033,0.3995
10.90,0.5230,0.5273,0.5264,0.4056,0.4083,0.4017
11.00,0.5242,0.5233,0.5267,0.4044,0.4147,0.4033
11.10,0.5240,0.5226,0.5253,0.4053,0.4021,0.4072
11.20,0.5242,0.5240,0.5259,0.4086,0.4021,0.4024
11.30,0.5238,0.5257,0.5245,0.4072,0.4041,0.3998
11.40,0.5246,0.5251,0.5253,0.4065,0.4028,0.4009
11.50,0.5256,0.5223,0.5259,0.4078,0.4003,0.3984
11.60,0.5233,0.5234,0.5247,0.4089,0.4,0.4046
11.70,0.5239,0.5249,0.5256,0.4072,0.4003,0.4073
11.80,0.5215,0.5228,0.5248,0.4059,0.4004,0.399
11.90,0.5244,0.5226,0.5233,0.4057,0.4113,0.3984
12.00,0.5241,0.5223,0.5248,0.4052,0.4134,0.3979
12.10,0.5232,0.5224,0.525,0.4049,0.4129,0.3999
12.20,0.5231,0.5256,0.5253,0.4063,0.4053,0.3989
12.30,0.5210,0.5238,0.5235,0.4072,0.4011,0.3991
12.40,0.5216,0.5220,0.5221,0.4053,0.4011,0.4025
12.50,0.5189,0.5215,0.5252,0.4067,0.4009,0.4299
12.60,0.5233,0.5223,0.5253,0.4055,0.4008,0.4165
12.70,0.5240,0.5225,0.5257,0.4529,0.408,0.4233
12.80,0.5242,0.5224,0.5256,0.4727,0.4607,0.4545
12.90,0.5236,0.5235,0.5255,0.4127,0.4563,0.4074
13.00,0.5235,0.5229,0.5245,0.4749,0.4112,0.4228
13.10,0.5238,0.5283,0.529,0.4246,0.4469,0.4616
13.20,0.5242,0.5437,0.5247,0.4039,0.4023,0.4176
13.30,0.5232,0.5440,0.5299,0.4043,0.4006,0.4016
13.40,0.5285,0.5373,0.5243,0.406,0.4032,0.4194
13.50,0.5332,0.5255,0.5223,0.4043,0.4027,0.4036
13.60,0.5335,0.5279,0.5225,0.4032,0.4017,0.4005
13.70,0.5311,0.5276,0.5245,0.4053,0.4006,0.4012
13.80,0.5274,0.5271,0.5249,0.4048,0.4,0.401
13.90,0.5246,0.5277,0.525,0.4052,0.4017,0.4001
14.00,0.5234,0.5269,0.5244,0.4053,0.4094,0.4009
14.10,0.5237,0.5246,0.5248,0.4095,0.4195,0.4033
14.20,0.5233,0.5246,0.5242,0.4036,0.4151,0.4063
14.30,0.5211,0.5255,0.5218,0.4055,0.4155,0.401
14.40,0.5238,0.5248,0.5255,0.4083,0.4129,0.3996
14.50,0.5230,0.5246,0.5262,0.4073,0.4012,0.4019
14.60,0.5230,0.5243,0.53,0.4078,0.4015,0.4012
14.70,0.5229,0.5244,0.5292,0.4081,0.401,0.4024
14.80,0.5238,0.5235,0.5319,0.4063,0.4031,0.4048
14.90,0.5219,0.5240,0.5273,0.4049,0.4021,0.4051
15.00,0.5238,0.5229,0.5243,0.4081,0.3984,0.4007
15.10,0.5240,0.5230,0.5236,0.4052,0.4005,0.3994
15.20,0.5235,0.5234,0.5238,0.4046,0.4015,0.3994
15.30,0.5188,0.5221,0.5278,0.4031,0.4007,0.4001
15.40,0.5200,0.5242,0.5249,0.4079,0.4006,0.4002
15.50,0.5242,0.5246,0.5253,0.4044,0.4019,0.4028
15.60,0.5232,0.5249,0.5246,0.4035,0.4043,0.4112
15.70,0.5245,0.5241,0.5265,0.4075,0.4032,0.4139
15.80,0.5273,0.5233,0.5298,0.4052,0.3991,0.4124
15.90,0.5238,0.5252,0.5291,0.4027,0.4032,0.4293
16.00,0.5226,0.5243,0.5317,0.4027,0.4124,0.4052
16.10,0.5236,0.5243,0.5313,0.465,0.4225,0.4215
16.20,0.5256,0.5257,0.5387,0.4596,0.4865,0.4394
16.30,0.5255,0.5262,0.5311,0.4155,0.4817,0.4013
